ability,sposobnost
absence,odsutnost
abuse,zlostavljanje
access,pristup
accident,nesreća
accommodation,smještaj
account,račun
acid,kiselina
act,djelo
action,akcija
activity,activnost
addition,dodatak
address,adresa
administration,administracija
adult,osoba
advantage,prednost
advice,savjet
afternoon,poslijepodne
age,starost
agency,agencija
agent,agent
agreement,sporazum
agriculture,poljoprivreda
aid,pomoć
aim,cilj
air,zrak
aircraft,avion
alternative,alternativa
amount,količina
analysis,analiza
animal,životinja
answer,odgovor
appeal,molba
appearance,izgled
application,aplikacija
appointment,postavljenje
approval,odobrenje
area,oblast
argument,argument
army,vojska
arrival,dolozak
art,umetnost
article,ćlanak
artist,umjetnik
assessment,procjena
assistance,pomoć
atmosphere,atmosfera
attack,napad
attempt,pokušaj
attention,pažnja
attitude,stav
audience,publika
author,pisac
autumn,jesen
average,prosjek
award,nagrada
awareness,svijest
back,leđa
balance,ravnoteža
ball,lopta
band,orkestar
bank,banka
bar,bar
bath,kupka
battle,borba
beach,plaža
beans,pasulj
beauty,ljepota
bed,postelja
bedroom,soba
belief,vjerovanje
bill,račun
bird,ptica
birth,rođenje
block,blokiranje
blood,krv
board,daska
boat,čamac
body,tijelo
book,knjiga
border,granica
bottle,boca
bottom,dno
box,kutija
boy,dječak
brain,mozak
branch,grana
bread,kruv
break,pauza
breakfast,doručak
breath,disanje
bridge,most
brother,brat
brown,smeđa
bus,autobus
bush,grm
business,trgovina
cabbage,kupus
cabinet,kredenac
call,poziv
capital,kapital
captain,zapovjednik
car,auto
card,čestitka
care,briga
career,karijera
carrot,murkva
castle,dvorac
cat,mačka
cement,beton
center,središte
century,stoljeću
chain,lanac
chair,stolica
chance,prilika
change,promeniti
channel,kanal
chapter,poglavlje
cheese,sir
chest,prsa
chicken,kokoš
child,dijete
choice,izbor
church,crkva
city,grad
class,razred
coal,ugljen
coast,obala
cipher,šifra
coffee,kafe
college,koledž
colour,kolor
communication,komunikacija
community,zajednica
company,kompanija
computer,računalo
concentration,koncentracija
confidence,smjelost
conflict,konflikt
connection,povezanost
consequence,posljedica
construction,izgradnja
consumer,potrošač
contact
content
context
contract
contrast
contribution
control
convention
conversation
