abandon, napustiti
absolute, apsolutna
academic, akademski
acceptable, prihvatljiv
accompany, pratiti
account, račun
accurate, točne
accuse, optužiti
acknowledge, priznati
acquire, steći
actual, stvarni
adapt, prilagoditi
additional, dodatni
address, adresa
administration, uprave
adopt, posvojiti
advance, unaprijed
affair, afera
afterwards, poslije
agency, agencija
agenda, dnevni red
aggressive, agresivan
aid, pomoć
aircraft, zrakoplov
alarm, alarm
alter, mijenjati
amount, iznos
anger, bijes
angle, kut
anniversary, obljetnice
annual, godišnji
anxious, tjeskobno
apparent, prividna
apparently, očito
appeal, apel
approach, pristup
appropriate, primjereno
approval, odobrenje
approve, odobriti
arise, nastati
armed, naoružan
arms, oružje
artificial, umjetno
artistic, umjetnički
ashamed, posramljena
aspect, aspekt
assess, procijeniti
assessment, procjena
associate, suradnik
associated, povezane
association, udruga
assume, pretpostaviti
attempt, pokušaj
back, leđa
bacteria, bakterije
bar, bar
barrier, prepreka
basically, u osnovi
battle, bitka
bear, snositi
beat, pobijediti
beg, moliti
being, biće
bent, savijen
bet, kladiti se
beyond, Iznad
bill, račun
bitter, gorak
blame, okriviti
blind, slijepi
bond, veza
border, granica
breast, grudi
brief, kratak
broad, široka
broadcast, emitirati
budget, proračuna
bullet, metak
bunch, mnogo
burn, spaliti
bush, grm
but, ali
cable, kabel
calculate, izračunati
cancel, otkazati
cancer, Rak
capable, sposoban
capacity, kapacitet
capture, uhvatiti
cast, cast
catch, ulov
cell, stanica
chain, lanac
chair, stolica
chairman, predsjednik
challenge, izazov
characteristic, karakterističan
chart, grafikon
chief, glavni
circumstance, okolnost
cite, navoditi
citizen, građanin
civil, građanski
classic, klasična
close, Zatvoriti
closely, usko
collapse, kolaps
combination, kombinacija
comfort, udobnost
command, naredba
commission, provizija
commitment, predanost
committee, odbor
commonly, obično
complex, kompleks
complicated, komplicirano
component, komponenta
concentration, koncentracija
concept, koncept
concern, zabrinutost
concerned, zabrinut
conduct, ponašanje
confidence, samouvjerenost
conflict, sukob
confusing, zbunjujuće
conscious, svjesni
conservative, konzervativan
consideration, obzir
consistent, dosljedan
constant, konstantno
constantly, konstantno
construct, konstruirati
construction, građenje
contemporary, suvremeni
contest, Natjecanje
contract, ugovor
contribute, doprinijeti
contribution, doprinos
convert, Pretvoriti
convinced, uvjeren
core, jezgra
corporate, korporativni
council, vijeće
county, okrug
courage, hrabrost
crash, sudar
creation, stvaranje
creature, stvorenje
credit, Kreditna
crew, posada
crisis, kriza
criterion, kriterij
critic, kritičar
critical, kritično
criticism, kritika
criticize, kritizirati
crop, usjev
crucial, presudno
cry, plakati
cure, lijek
current, Trenutno
curve, zavoj
curved, zakrivljen
date, datum
debate, rasprava
debt, dug
decent, pristojan
declare, proglasiti
decline, odbiti
decoration, ukras
decrease, smanjenje
deeply, duboko
defeat, poraz
defence, obrana
defend, braniti
delay, odgoditi
deliberate, namjerno
deliberately, namjerno
delight, oduševljenje
delighted, oduševljen
delivery, dostava
demand, zahtijevajte
demonstrate, demonstrirati
deny, poricati
depressed, depresivno
depressing, depresivno
depth, dubina
desert, pustinja
deserve, zaslužuju
desire, želja
desperate, očajan
detail, detalj
detailed, detaljan
detect, otkriti
dig, kopati
disc, disk
discipline, disciplina
discount, popust
dishonest, nepošten
dismiss, odbaciti
display, prikaz
distribute, raspodijeliti
distribution, distribucija
district, okrug
divide, podijeliti
division, podjela
document, dokument
domestic, domaći
dominate, dominirati
downwards, prema dolje
dozen, tucet
draft, Nacrt
drag, opterećenje
dramatic, dramatično
edit, Uredi
edition, izdanje
efficient, učinkovit
elderly, starije osobe
elect, izabrati
elsewhere, drugdje
emerge, isplivati
emotional, emotivan
emphasis, naglasak
emphasize, naglasiti
enable, omogućiti
encounter, susret
engage, angažirati se
enhance, poboljšati
enquiry, upit
ensure, osigurati
enthusiasm, entuzijazam
enthusiastic, entuzijastičan
entire, cijeli
entirely, u potpunosti
equal, jednak
establish, uspostaviti
estate, imanje
estimate, procjena
ethical, etički
evaluate, procijeniti
even, čak
evil, zlo
examination, ispitivanje
excuse, izgovor
executive, izvršni
existence, postojanje
expectation, očekivanje
expense, trošak
exploration, istraživanje
expose, izložiti
extend, produžiti
extent, opseg
external, vanjski
extraordinary, izvanredan
extreme, ekstremno
facility, objektu
failure, neuspjeh
faith, vjera
fault, kvar
favour, milost
feather, pero
fee, pristojba
feed, hraniti
feedback, Povratne informacije
feel, osjetiti
fellow, kolega
figure, lik
file, datoteka
finance, financije
finding, nalaz
firm, firma
fix, popraviti
flame, plamen
flash, bljesak
flexible, fleksibilno
float, plutati
fold, preklopiti
folding, preklapanje
following, slijedeći
forgive, oprostiti
former, prijašnji
fortune, bogatstvo
forward, naprijed
found, pronađeno
free, besplatno
freedom, sloboda
frequency, frekvencija
fuel, gorivo
fully, potpuno
function, funkcija
fund, fond
fundamental, temeljna
funding, financiranje
furthermore, nadalje
gain, dobiti
gang, banda
generate, generirati
genre, žanr
govern, upravljati
grab, zgrabiti
grade, razred
gradually, postepeno
grand, veličanstven
grant, dodijeliti
guarantee, jamčiti
handle, ručka
harm, štetiti
harmful, štetno
hearing, sluha
heaven, nebo
heel, potpetica
hell, pakao
hesitate, oklijevati
high, visoka
hire, najam
hold, držite
hollow, šuplje
holy, sveti
honour, čast
host, domaćin
house, kuća
household, kućanstvo
housing, kućište
humorous, duhovit
humour, humor
hunt, lov
hunting, lov
hurt, povrijediti
ideal, idealan
illustrate, ilustrirati
illustration, ilustracija
imagination, mašta
impatient, nestrpljiv
imply, implicirati
impose, nameće
impress, impresionirati
impressed, impresioniran
inch, inča
incident, incident
income, prihod
increasingly, sve više
industrial, industrijskim
infection, infekcija
inform, obavijestiti
initial, početni
initially, u početku
initiative, inicijativa
inner, unutarnje
insight, uvid
insist, inzistirati
inspire, inspirirati
install, instalirati
instance, primjer
institute, institut
institution, institucija
insurance, osiguranje
intended, namjeravao
intense, intenzivan
internal, unutarnje
interpret, protumačiti
interrupt, prekinuti
investigation, istraga
investment, ulaganje
issue, problem
joy, radost
judgement, osuda
junior, junior
justice, pravda
justify, opravdati
labour, rad
landscape, krajolik
largely, uglavnom
latest, najnoviji
launch, lansirati
leadership, rukovodstvo
league, liga
lean, mršavi
leave, napustiti
level, razini
licence, licencu
limited, ograničeno
line, crta
lively, živo
load, opterećenje
loan, zajam
logical, logično
long-term, dugoročno
loose, labav
lord, gospodar
low, nisko
lower, niži
lung, pluća
maintain, održavati
majority, većina
make, napraviti
map, karta
mass, masa
massive, masivan
master, ovladati; majstorski
matching, podudaranje
material, materijal
maximum, maksimum
means, sredstva
measurement, mjerenje
medium, srednji
melt, topiti
military, vojnički
mineral, mineral
minimum, minimum
minister, ministar
minor, maloljetni
minority, manjina
mission, misija
mistake, pogreška
mixed, mješoviti
model, model
modify, modificirati
monitor, monitor
moral, moralne
motor, motor
mount, montirati
multiple, višestruko
multiply, pomnožiti
mysterious, tajanstvena
narrow, suziti
national, nacionalnim
neat, uredan
negative, negativan
nerve, živac
nevertheless, Štoviše
nightmare, noćna mora
notion, pojam
numerous, brojne
obey, poslušati
object, objekt
objective, cilj
obligation, obaveza
observation, promatranje
observe, promatrati
obtain, dobiti
occasionally, povremeno
offence, uvreda
offend, uvrijediti
offensive, uvredljiv
official, službeno
opening, otvor
operate, djelovati
opponent, protivnik
oppose, suprotstaviti se
opposed, suprotstavio se
opposition, oporba
organ, orgulje
origin, podrijetlo
otherwise, inače
outcome, ishod
outer, vanjski
outline, obris
overall, sveukupno
owe, dugovati
pace, tempo
package, paket
panel, ploča
parliament, parlament
participant, sudionik
partly, djelomično
passage, prolaz
patient, pacijent
pension, mirovina
permanent, trajna
permit, dozvola
perspective, perspektiva
phase, faza
phenomenon, fenomen
philosophy, filozofija
pick, odabrati
picture, slika
pile, hrpa
pitch, nagib
plain, običan
plot, zemljište
plus, plus
pointed, šiljati
popularity, popularnost
pose, poza
position, položaj
positive, pozitivan
possess, posjedovati
potential, potencijal
power, vlast
praise, pohvale
pregnant, trudna
preparation, priprema
presence, prisutnost
preserve, sačuvati
price, cijena
prime, premijerno
principle, načelo
print, ispisati
priority, prioritet
privacy, privatnost
procedure, postupak
process, postupak
produce, proizvoditi
professional, profesionalnim
progress, napredak
project, projekt
proof, dokaz
proposal, prijedlog
propose, predložiti
prospect, prospekt
protection, zaštita
psychologist, psiholog
psychology, psihologija
publication, objavljivanje
pupil, učenik
purchase, kupiti
pure, čist
pursue, progoniti
range, rasponu
rank, rang
rapid, brza
rapidly, brzo
rate, stopa
raw, sirovo
reach, dohvatiti
realistic, realističan
reasonable, razuman
recall, podsjetiti
recover, oporavak
reduction, smanjenje
regard, obzir
regional, Regionalni
register, Registar
regret, žaljenje
regulation, propis
relatively, relativno
relevant, relevantan
relief, olakšanje
rely, osloniti
remark, napomena
representative, predstavnik
reputation, ugled
requirement, zahtjev
rescue, spasiti
reserve, rezerva
resident, Rezidencija
resist, odoljeti
resolve, odlučnost
resort, pribjeći
retain, zadržati
reveal, otkriti
revolution, revolucija
reward, nagrada
rhythm, ritam
rid, osloboditi
root, korijen
round, krug
routine, rutinski
rub, trljati
rubber, guma
rural, seoska
rush, žuriti
sample, uzorak
satellite, satelit
satisfied, zadovoljan
satisfy, zadovoljiti
saving, spremanje
scale, mjerilo
schedule, raspored
scheme, shema
scream, vrisak
screen, zaslon
seat, sjedalo
sector, sektor
secure, siguran
seek, tražiti
select, Izaberi
selection, izbor
self, sebe
senior, stariji
sense, osjećaj
sensitive, osjetljiv
sentence, rečenica
sequence, slijed
session, sjednica
settle, namiriti se
severe, teška
shade, hlad
shadow, sjena
shallow, plitko
shame, sram
shape, oblik
shelter, zaklon
shift, pomak
ship, brod
shock, šok
shocked, šokiran
shooting, pucanje
shot, pucao
significant, značajan
significantly, značajno
silence, tišina
silk, svila
sincere, iskrena
slave, rob
slide, slajd
slight, neznatno
slip, skliznuti
slope, nagib
