ability, sposobnost
able, sposoban
abroad, u inozemstvu
accept, prihvatiti
accident, nesreća
according, prema
achieve, postići
act, djelovati
active, aktivan
actually, zapravo
adult, odrasla osoba
advantage, prednost
adventure, avantura
advertise, oglašavati
advertisement, oglas
advertising, oglašavanje
affect, utjecati
after, nakon
against, protiv
ah, Ah
airline, zrakoplovna tvrtka
alive, živ
all, svi
all, svi
allow, dopustiti
almost, skoro
alone, sama
along, uz
already, već
alternative, alternativa
although, iako
among, među
amount, iznos
ancient, antički
ankle, gležanj
any, bilo koji
anybody, itko
any, bilo koji
anyway, svejedno
anywhere, bilo gdje
app, app
appear, pojaviti se
appearance, izgled
apply, primijeniti
architect, arhitekt
architecture, arhitektura
argue, raspravljati
argument, argument
army, vojska
arrange, urediti
arrangement, uređenje
as, kao
asleep, zaspao
assistant, pomoćnik
athlete, sportaš
attack, napad
attend, pohađati
attention, pažnja
attractive, atraktivan
audience, publika
author, Autor
available, dostupno
average, prosjek
avoid, Izbjegavajte
award, dodijeliti
awful, grozno
back, leđa
background, pozadini
badly, Loše
bar, bar
baseball, bejzbol
based, na temelju
basketball, košarka
bean, grah
bear, snositi
beat, pobijediti
beef, govedina
before, prije
behave, ponašati
behaviour, ponašanje
belong, pripadati
belt, pojas
benefit, korist
best, najbolje
better, bolje
between, između
billion, milijardi
bin, kantu
biology, biologija
birth, rođenje
biscuit, biskvit
bit, malo
blank, prazan
blood, krv
blow, udarac
board, odbor
boil, kuhati
bone, kost
book, knjiga
borrow, posuditi
boss, šef
bottom, dno
bowl, zdjela
brain, mozak
bridge, most
bright, svijetao
brilliant, briljantno
broken, slomljen
brush, četka
burn, spaliti
businessman, biznismen
button, dugme
camp, kamp
camping, kampiranje
can, limenka
care, njegu
careful, oprezno
carefully, pažljivo
carpet, tepih
cartoon, crtani film
case, slučaj
cash, unovčiti
castle, dvorac
catch, ulov
cause, uzrok
celebrate, slaviti
celebrity, slavna osoba
certain, izvjesni
certainly, sigurno
chance, prilika
character, lik
charity, dobročinstvo
chat, razgovor
check, ček
chef, kuhar
chemistry, kemija
chip, čip
choice, izbor
church, crkva
cigarette, cigareta
circle, krug
classical, klasična
clear, čisto
clearly, jasno
clever, pametan
climate, klima
close, Zatvoriti
closed, zatvoreno
clothing, odjeća
cloud, oblak
coach, trener
coast, obala
code, kodirati
colleague, Suradnik
collect, prikupiti
column, stupac
comedy, komedija
comfortable, udobno
comment, komentar
communicate, komunicirati
community, zajednica
compete, natjecati se
competition, natjecanje
complain, žaliti se
completely, potpuno
condition, stanje
conference, konferencija
connect, Spojiti
connected, povezani
consider, smatrati
contain, sadržavati
context, kontekst
continent, kontinent
continue, nastaviti
control, kontrolirati
cook, kuhati
cooker, štednjak
copy, kopirati
corner, kutu
correctly, ispravno
count, računati
couple, par
cover, pokriti
crazy, lud
creative, kreativni
credit, Kreditna
crime, zločina
criminal, zločinački
cross, križ
crowd, gužva
crowded, prepuna
cry, plakati
cupboard, ormarić
curly, kovrčava
cycle, ciklus
daily, dnevno
danger, opasnost
dark, tamno
data, podaci
dead, mrtav
deal, Dogovor
dear, dragi
death, smrt
decision, odluka
deep, duboko
definitely, definitivno
degree, stupanj
dentist, stomatolog
department, odjelu
depend, ovisiti
desert, pustinja
designer, dizajner
destroy, uništiti
detective, detektiv
develop, razviti
device, uređaj
diary, dnevnik
differently, različito
digital, digitalni
direct, direktno
direction, smjer
director, direktor
disagree, ne slažem se
disappear, nestati
disaster, katastrofa
discover, otkriti
discovery, otkriće
discussion, rasprava
disease, bolest
distance, udaljenosti
divorced, rastavljen
document, dokument
double, dvostruko
download, preuzimanje datoteka
downstairs, dolje
drama, drama
drawing, crtanje
dream, san
drive, voziti
driving, vozeći
drop, pad
drug, droga
dry, suha
earn, zaraditi
earth, Zemlja
easily, lako
education, obrazovanje
effect, posljedica
either, ili
electric, električni
electrical, električni
electricity, struja
electronic, elektronički
employ, zaposliti
employee, zaposlenik
employer, poslodavac
empty, prazan
ending, završetak
energy, energije
engine, motor
engineer, inženjer
enormous, ogroman
enter, Unesi
environment, okoliš
equipment, oprema
error, pogreška
especially, posebno
essay, esej
everyday, svaki dan
everywhere, svugdje, posvuda
evidence, dokaz
exact, točno
exactly, točno
excellent, izvrsno
except, osim
exist, postojati
expect, očekivati
experience, iskustvo
experiment, eksperiment
expert, stručnjak
explanation, obrazloženje
express, izraziti
expression, izraz
extreme, ekstremno
extremely, krajnje
factor, faktor
factory, tvornica
fail, iznevjeriti
fair, pravedan
fall, pad
fan, ventilator
farm, farma
farming, uzgoj
fashion, moda
fat, mast
fear, strah
feature, značajka
feed, hraniti
female, žena
fiction, fikcija
field, polje
fight, borba
figure, lik
film, film
final, konačni
finally, konačno
finger, prst
finish, Završi
first, prvi
firstly, prvo
fish, riba
fishing, ribarstvo
fit, odgovarati
fix, popraviti
flat, ravan
flu, gripe
fly, letjeti
flying, leteći
focus, usredotočenost
following, slijedeći
foreign, stranim
forest, šuma
fork, vilica
formal, formalni
fortunately, na sreću
forward, naprijed
free, besplatno
fresh, svježe
fridge, hladnjak
frog, žaba
fun, zabava
furniture, namještaj
further, unaprijediti
future, budućnost
gallery, galerija
gap, jaz
gas, plin
gate, kapija
general, Općenito
gift, dar
goal, cilj
god, bog
gold, zlato
golf, golf
good, dobro
government, vlada
grass, trava
greet, pozdraviti
ground, tlo
guest, gost
guide, vodič
gun, pištolj
guy, momak
habit, navika
half, pola
hall, dvorana
happily, sretno
have, imati
headache, glavobolja
heart, srce
heat, toplina
heavy, teška
height, visina
helpful, koristan
hero, junak
hers, njezina
herself, sama
hide, sakriti
high, visoka
hill, brdo
himself, sam
his, njegov
hit, pogoditi
hockey, hokej
hold, držite
hole, rupa
home, Dom
hope, nada
huge, ogroman
human, ljudski
hurt, povrijediti
ideal, idealan
identify, identificirati
ill, bolestan
illness, bolest
image, slika
immediately, odmah
impossible, nemoguće
included, uključeno
including, uključujući
increase, povećati
incredible, nevjerojatan
independent, neovisna
individual, pojedinac
industry, industrija
informal, neformalni
injury, ozljeda
insect, kukac
inside, iznutra
instead, umjesto toga
instruction, upute
instructor, instruktor
instrument, instrument
intelligent, inteligentan
international, međunarodni
introduction, Uvod
invent, izumiti
invention, izum
invitation, poziv
invite, pozvati
involve, uključiti
item, artikal
itself, sebe
jam, pekmez
jazz, jazz
jewellery, nakit
joke, vic
journalist, novinar
jump, skok
kid, dijete
kill, ubiti
king, kralj
knee, koljeno
knife, nož
knock, kucanje
knowledge, znanje
lab, laboratorija
lady, dama
lake, jezero
lamp, svjetiljka
land, zemljište
laptop, laptop
last, posljednji
last, posljednji
later, kasnije
laughter, smijeh
law, zakon
lawyer, odvjetnik
lazy, lijen
lead, voditi
leader, vođa
learning, učenje
least, najmanje
lecture, predavanje
lemon, limun
lend, posuditi
less, manje
level, razini
lifestyle, stil života
lift, lift
light, svjetlo
light, svjetlo
likely, Vjerojatno
link, veza
listener, slušatelj
little, malo
lock, zaključati
look, izgled
lorry, kamion
lost, izgubljeno
