about, oko
above, iznad
across, preko
action, akcijski
activity, aktivnost
actor, glumac
actress, glumica
add, dodati
address, adresa
adult, odrasla osoba
advice, savjet
afraid, bojati se
after, nakon
afternoon, poslijepodne
again, opet
age, dob
ago, prije
agree, slažem se
air, zrak
airport, zračna luka
all, svi
also, također
always, stalno
amazing, nevjerojatno
and, i
angry, ljut
animal, životinja
another, još
answer, odgovor
any, bilo koji
anyone, bilo tko
anything, bilo što
apartment, apartman
apple, jabuka
April, travanj
area, područje
arm, ruka
around, oko
arrive, stići
art, umjetnost
article, članak
artist, umjetnik
as, kao
ask, pitati
at, na
August, kolovoz
aunt, tetka
autumn, jesen
away, daleko
baby, dijete
back, leđa
bad, loše
bag, torba
ball, lopta
banana, banana
band, bend
bank, banka
bath, kupka
bathroom, kupaonica
be, biti
beach, plaža
beautiful, lijep
because, jer
become, postati
bed, krevet
bedroom, spavaća soba
beer, pivo
before, prije
begin, početi
beginning, početak
behind, iza
believe, vjerovati
below, ispod
best, najbolje
better, bolje
between, između
bicycle, bicikl
big, velik
bike, bicikl
bill, račun
bird, ptica
birthday, rođendan
black, crno
blog, blog
blonde, plavuša
blue, plava
boat, čamac
body, tijelo
book, knjiga
boot, čizma
bored, dosadno
boring, dosadno
born, rođen
both, oba
bottle, boca
box, kutija
boy, dječak
boyfriend, dečko
bread, kruh
break, pauza
breakfast, doručak
bring, donijeti
brother, brat
brown, smeđa
build, izgraditi
building, zgrada
bus, autobus
business, poslovanje
busy, zaposlen
but, ali
butter, maslac
buy, kupiti
by, po
bye, Pozdrav
cafe, kafić
cake, torta
call, poziv
camera, fotoaparat
can1, limenka1
cannot, Ne možete
capital, kapital
car, automobil
card, kartica
career, karijera
carrot, mrkva
carry, nositi
cat, mačka
CD, CD
cent, cent
centre, centar
century, stoljeća
chair, stolica
change, promijeniti
chart, grafikon
cheap, jeftino
check, ček
cheese, sir
chicken, piletina
child, dijete
chocolate, čokolada
choose, birati
cinema, kino
city, Grad
class, razreda
classroom, učionica
clean, čist
climb, uspon
clock, sat
close1, zatvori 1
clothes, odjeća
club, klub
coat, kaput
coffee, kava
cold, hladnom
college, koledž
colour, boja
come, dođi
common, uobičajen
company, društvo
compare, usporediti
complete, potpuni
computer, Računalo
concert, koncert
conversation, razgovor
cook, kuhati
cooking, kuhanje
cool, cool
correct, ispravan
cost, trošak
could, mogli
country, zemlja
course, tečaj
cousin, rođak
cow, krava
cream, krema
create, stvoriti
culture, Kultura
cup, kupa
customer, kupac
cut, izrezati
dad, tata
dance, ples
dancer, plesač
dancing, ples
dangerous, opasno
dark, tamno
date, datum
daughter, kći
day, dan
dear, dragi
December, prosinac
decide, odlučiti
delicious, ukusno
describe, opisati
description, opis
design, oblikovati
desk, radni stol
detail, detalj
dialogue, dijalog
dictionary, rječnik
die, umrijeti
diet, dijeta
difference, razlika
different, drugačiji
difficult, teško
dinner, večera
dirty, prljavo
discuss, raspravljati
dish, jelo
do1, učiniti 1
doctor, liječnik
dog, pas
dollar, dolar
door, vrata
down, dolje
downstairs, dolje
draw, crtati
dress, haljina
drink, piće
drive, voziti
driver, vozač
during, tijekom
DVD, DVD
each, svaki
ear, uho
early, rano
east, istočno
easy, lako
eat, jesti
egg, jaje
eight, osam
eighteen, osamnaest
eighty, osamdeset
elephant, slon
eleven, jedanaest
else, drugo
email, email
end, kraj
enjoy, uživati
enough, dovoljno
euro, euro
even, čak
evening, večer
event, događaj
ever, ikad
every, svaki
everybody, svi
everyone, svatko
everything, sve
exam, ispit
example, primjer
excited, uzbuđen
exciting, uzbudljiv
exercise, vježbanje
expensive, skup
explain, objasniti
extra, ekstra
eye, oko
face, lice
fact, činjenica
fall, pad
false, lažno
family, obitelj
famous, poznati
fantastic, fantastičan
far, daleko
farm, farma
farmer, seljak
fast, brzo
fat, mast
father, otac
favourite, omiljeni
February, veljača
feel, osjetiti
feeling, osjećaj
festival, festival
few, nekoliko
fifteen, petnaest
fifth, peti
fifty, pedeset
fill, ispuniti
film, film
final, konačni
find, pronaći
fine, fino
finish, Završi
fire, vatra
first, prvi
fish, riba
five, pet
flat, ravan
flight, let
floor, kat
flower, cvijet
fly, letjeti
follow, slijediti
food, hrana
foot, noga
football, nogomet
for, za
forget, zaboraviti
form, oblik
forty, četrdeset
four, četiri
fourteen, četrnaest
fourth, Četvrta
free, besplatno
Friday, petak
friend, prijatelju
friendly, prijateljski
from, iz
front, ispred
fruit, voće
full, puna
fun, zabava
funny, smiješno
future, budućnost
game, igra
garden, vrt
geography, geografija
get, dobiti
girl, djevojka
girlfriend, djevojka
give, dati
glass, staklo
go, ići
good, dobro
goodbye, Doviđenja
grandfather, djed
grandmother, baka
grandparent, baka ili djed
great, Sjajno
green, zelena
grey, siva
group, skupina
grow, rasti
guess, pogoditi
guitar, gitara
gym, teretana
hair, dlaka
half, pola
hand, ruka
happen, dogoditi
happy, sretan
hard, teško
hat, šešir
hate, mrziti
have, imati
he, on
head, glava
health, zdravlje
healthy, zdrav
hear, čuti
hello, zdravo
help, Pomozite
her, nju
here, ovdje
hey, hej
hi, bok
high, visoka
him, mu
his, njegov
history, povijesti
hobby, hobi
holiday, odmor
home, Dom
homework, domaća zadaća
hope, nada
horse, konj
hospital, bolnica
hot, vruće
hotel, hotel
hour, sat
house, kuća
how, kako
however, međutim
hundred, stotina
hungry, gladan
husband, suprug
I, ja
ice, led
idea, ideja
if, ako
imagine, zamisliti
important, važno
improve, poboljšati
in, u
include, uključiti
information, informacija
interest, interes
interested, zainteresiran
interesting, zanimljiv
internet, Internet
interview, intervju
into, u
introduce, predstaviti
island, otok
it, to
its, svoje
jacket, jakna
January, siječnja
jeans, traperice
job, posao
join, pridružiti
journey, putovanje
juice, sok
July, srpanj
June, lipanj
just, samo
keep, zadržati
key, ključ
kilometre, kilometar
kind, ljubazan
kitchen, kuhinja
know, znati
land, zemljište
language, Jezik
large, velika
last1, zadnji 1
late, kasno
later, kasnije
laugh, smijeh
learn, naučiti
leave, napustiti
left, lijevo
leg, noga
lesson, lekcija
let, neka
letter, pismo
library, knjižnica
lie1, laž 1
life, život
light, svjetlo
adj., prid.
like, Kao
line, crta
lion, lav
list, popis
listen, slušati
little, malo
live1, uživo 1
local, lokalni
long1, dugo1
look, izgled
lose, izgubiti
lot, mnogo
love, ljubav
lunch, ručak
machine, mašina
magazine, časopis
main, glavni
make, napraviti
man, čovjek
many, puno
map, karta
March, ožujak
market, tržište
married, oženjen
match, podudarati
May, svibanj
maybe, može biti
me, mi
meal, obrok
mean, znači
meaning, značenje
meat, meso
meet, upoznati
meeting, sastanak
member, član
menu, izbornik
message, poruka
metre, metar
midnight, ponoć
mile, milja
milk, mlijeko
million, milijuna
minute1, minuta 1
miss, propustiti
mistake, pogreška
model, model
modern, moderno
moment, trenutak
Monday, ponedjeljak
money, novac
month, mjesec
more, više
morning, jutro
most, najviše
mother, majka
mountain, planina
mouse, miš
mouth, usta
move, potez
movie, film
much, mnogo
mum, mama
museum, muzej
music, glazba
must, mora
my, moj
name, Ime
natural, prirodnim
near, blizu
need, potreba
negative, negativan
neighbour, susjed
never, nikada
new, novi
news, vijesti
newspaper, novine
next, Sljedeći
nice, Lijepo
night, noć
nine, devet
nineteen, devetnaest
ninety, devedeset
no, Ne
nobody, nitko
north, sjeverno
nose, nos
not, ne
note, Bilješka
nothing, ništa
November, studeni
now, sada
number, broj
nurse, medicinska sestra
object, objekt
o’clock, sati
October, listopad
of, od
off, isključeno
office, ured
often, često
oh, Oh
OK, u redu
old, star
on, na
once, jednom
one, jedan
onion, luk
online, na liniji
only, samo
open, otvorena
opinion, mišljenje
opposite, suprotan
or, ili
orange, naranča
order, narudžba
other, drugo
our, naše
out, van
outside, vani
over, nad
own, vlastiti
page, stranica
paint, boja
painting, slika
pair, par
paper, papir
paragraph, stavak
parent, roditelj
park, park
part, dio
partner, partner
party, Zabava
passport, putovnica
past, prošlost
pay, platiti
pen, olovka
pencil, olovka
people, narod
pepper, papar
perfect, savršen
period, razdoblje
person, osoba
personal, osobnim
phone, telefon
photo, fotografija
photograph, fotografirati
phrase, fraza
piano, klavir
picture, slika
piece, komad
pig, svinja
pink, ružičasta
place, mjesto
plan, plan
plane, avion
plant, biljka
play, igra
player, igrač
please, Molim
point, točka
police, policija
policeman, policajac
pool, bazen
poor, jadan
popular, popularan
positive, pozitivan
possible, moguće
post, post
potato, krumpir
pound, funta
practice, praksa
practise, praksa
prefer, preferirati
prepare, pripremiti
present, predstaviti
pretty, prilično
price, cijena
probably, vjerojatno
problem, problem
product, proizvod
programme, program
project, projekt
purple, ljubičasta
put, staviti
quarter, četvrtina
question, pitanje
quick, brz
quickly, brzo
quiet, miran
quite, dosta
radio, radio
rain, kiša
read, čitati
reader, čitač
reading, čitanje
ready, spreman
real, stvaran
really, stvarno
reason, razlog
red, Crvena
relax, opustiti
remember, zapamtiti
repeat, ponoviti
report, izvješće
restaurant, restoran
result, proizlaziti
return, povratak
rice, riža
rich, bogati
ride, vožnja
right, pravo
river, Rijeka
road, cesta
room, soba
routine, rutinski
rule, Pravilo
run, trčanje
sad, tužno
salad, salata
salt, sol
same, isti
sandwich, sendvič
Saturday, subota
say, reći
school, škola
science, znanost
scientist, znanstvenik
sea, more
second, drugi
section, odjeljak
see, vidjeti
sell, prodavati
send, poslati
sentence, rečenica
September, rujan
seven, sedam
seventeen, sedamnaest
seventy, sedamdeset
share, udio
she, ona
sheep, ovce
shirt, košulja
shoe, cipela
shop, dućan
shopping, shopping
short, kratak
should, trebao bi
show, pokazati
shower, tuš
sick, bolesna
similar, sličan
sing, pjevati
singer, pjevač
sister, sestra
sit, sjediti
situation, situacija
six, šest
sixteen, šesnaest
sixty, šezdeset
skill, vještina
skirt, suknja
sleep, spavati
slow, usporiti
small, mali
snake, zmija
snow, snijeg
so, tako
some, neki
somebody, netko
someone, netko
something, nešto
sometimes, ponekad
son, sin
song, pjesma
soon, uskoro
sorry, Oprosti
sound, zvuk
soup, juha
south, jug
space, prostor
speak, govoriti
special, poseban
spell, čarolija
spelling, pravopis
spend, potrošiti
sport, sport
spring, Proljeće
stand, stajati
star, zvijezda
start, početak
statement, izjava
station, stanica
stay, boravak
still, još
stop, Stop
story, priča
street, ulica
strong, jaka
student, student
study, studija
style, stil
subject, predmet
success, uspjeh
sugar, šećer
summer, ljeto
sun, Sunce
Sunday, nedjelja
supermarket, supermarket
sure, Naravno
sweater, džemper
swim, plivati
swimming, plivanje
table, stol
take, uzeti
talk, razgovor
tall, visok
taxi, taksi
tea, čaj
teach, podučavati
teacher, učitelj
team, tim
teenager, tinejdžer
telephone, telefon
television, televizija
tell, reći
ten, deset
tennis, tenis
terrible, strašno
test, test
text, tekst
than, od
thank, zahvaliti
thanks, Hvala
that, da
the, the
theatre, kazalište
their, njihov
them, ih
then, zatim
there, tamo
they, oni
thing, stvar
think, razmišljati
third, treći
thirsty, žedan
thirteen, trinaest
thirty, trideset
this, ovaj
thousand, tisuću
three, tri
through, kroz
Thursday, četvrtak
ticket, ulaznica
time, vrijeme
tired, umoran
title, titula
to, do
today, danas
together, zajedno
toilet, WC
tomato, rajčica
tomorrow, sutra
tonight, večeras
too, isto
tooth, zub
topic, tema
tourist, turist
town, grad
traffic, promet
train, vlak
travel, putovati
tree, stablo
trip, putovanje
trousers, hlače
true, pravi
try, probati
T-shirt, majica
Tuesday, utorak
turn, skretanje
TV, televizor
twelve, dvanaest
twenty, dvadeset
twice, dvaput
two, dva
type, tip
umbrella, kišobran
uncle, ujak
under, pod
understand, razumjeti
university, sveučilište
until, do
up, gore
upstairs, gore
us, nas
use, koristiti
useful, koristan
usually, obično
vacation, odmor
vegetable, povrće
very, vrlo
video, video
village, selo
visit, posjetiti
visitor, posjetitelj
wait, čekati
waiter, konobar
wake, probuditi
walk, hodati
wall, zid
want, željeti
warm, toplo
wash, pranje
watch, Gledati
water, voda
way, put
we, mi
wear, nositi
weather, vrijeme
website, web stranica
Wednesday, srijeda
week, tjedan
weekend, vikend
welcome, Dobrodošli
well, dobro
west, Zapad
what, što
when, kada
where, gdje
which, koji
white, bijelim
who, tko
why, zašto
wife, žena
will, htjeti
win, pobijediti
window, prozor
wine, vino
winter, zima
with, s
without, bez
woman, žena
wonderful, divno
word, riječ
work, raditi
worker, radnik
world, svijet
would, bi
write, pisati
