absolutely, apsolutno
academic, akademski
access, pristup
accommodation, smještaj
account, račun
achievement, postignuće
act, djelovati
ad, oglas
addition, dodatak
admire, diviti se
admit, priznati
advanced, Napredna
advise, savjetovati
afford, priuštiti
age, dob
aged, u dobi
agent, agent
agreement, sporazum
ahead, naprijed
aim, cilj
alarm, alarm
album, album
alcohol, alkohol
alcoholic, alkoholičar
alternative, alternativa
amazed, zadivljen
ambition, ambicija
ambitious, ambiciozan
analyse, analizirati
analysis, analiza
announce, objaviti
announcement, Obavijest
annoy, smetati
annoyed, iznervirano
annoying, dosadno
apart, odvojeno
apologize, ispričavati
application, primjena
appointment, ugovoreni sastanak
appreciate, cijeniti
approximately, približno
arrest, uhićenje
arrival, dolazak
assignment, zadatak
assist, pomoći
atmosphere, atmosfera
attach, pričvrstiti
attitude, stav
attract, privući
attraction, privlačnost
authority, autoritet
average, prosjek
award, dodijeliti
aware, svjesni
backwards, unazad
bake, peći
balance, ravnoteža
ban, zabrana
bank, banka
base, baza
basic, osnovni
basis, osnovu
battery, baterija
battle, bitka
beauty, ljepota
bee, pčela
belief, vjerovanje
bell, zvono
bend, savijati se
benefit, korist
better, bolje
bite, ugristi
block, blok
board, odbor
bomb, bomba
border, granica
bother, gnjaviti
branch, podružnica
brand, marka
brave, hrabar
breath, dah
breathe, disati
breathing, disanje
bride, nevjesta
bubble, mjehurić
bury, zakopati
by, po
calm, smiriti
campaign, kampanja
campus, kampusa
candidate, kandidat
cap, kapa
captain, kapetan
careless, nemaran
category, kategorija
ceiling, strop
celebration, Proslava
central, središnji
centre, centar
ceremony, ceremonija
chain, lanac
challenge, izazov
champion, prvak
channel, kanal
chapter, poglavlje
charge, naplatiti
cheap, jeftino
cheat, varati
cheerful, vesela
chemical, kemijski
chest, prsa
childhood, djetinjstvo
claim, zahtjev
clause, klauzula
clear, čisto
click, klik
client, klijent
climb, uspon
closecloth, platno
clue, trag
coach, trener
coal, ugljen
coin, novčić
collection, kolekcija
coloured, obojena
combine, kombinirati
comment, komentar
commercial, komercijalni
commit, počiniti
communication, komunikacija
comparison, usporedba
competitor, konkurent
competitive, natjecateljski
complaint, pritužba
complex, kompleks
concentrate, koncentrat
conclude, zaključiti
conclusion, zaključak
confident, uvjeren
confirm, potvrditi
confuse, zbuniti
confused, zbunjeni
connection, vezu
consequence, posljedica
consist, sastoje se
consume, konzumirati
consumer, potrošač
contact, kontakt
container, kontejner
contentcontinuous, sadržaj kontinuiran
contrast, kontrast
convenient, zgodno
convince, uvjeriti
cool, cool
costume, kostim
cottage, vikendica
cotton, pamuk
count, računati
countryside, selo
court, sud
cover, pokriti
covered, pokrivena
cream, krema
criminal, zločinački
cruel, okrutan
cultural, kulturni
currency, valuta
current, Trenutno
currently, trenutno
curtain, zavjesa
custom, prilagođen
cut, izrezati
daily, dnevno
damage, šteta
deal, Dogovor
decade, desetljeće
decorate, ukrasiti
deep, duboko
define, definirati
definite, određen
definition, definicija
deliver, dostaviti
departure, odlazak
despite, bez obzira na
destination, odredište
determine, odrediti
determined, odlučan
development, razvoj
diagram, dijagram
diamond, dijamant
difficulty, poteškoće
direct, direktno
directly, direktno
dirt, prljavštine
disadvantage, hendikep
disappointed, razočaran
disappointing, razočaravajuće
discount, popust
dislike, nenaklonost
divide, podijeliti
documentary, dokumentarac
donate, donirati
double, dvostruko
doubt, sumnjati
dressed, obučen
drop, pad
drum, bubanj
drunk, pijan
due, zbog
dust, prah
duty, dužnost
earthquake, potres
eastern, istočnjački
economic, ekonomskim
economy, Ekonomija
edge, rub
editor, urednik
educate, obrazovati
educated, obrazovana
educational, obrazovne
effective, djelotvoran
effectively, učinkovito
effort, napor
election, izbori
element, element
embarrassed, posramljena
embarrassing, posramljujući
emergency, hitan slučaj
emotion, emocija
employment, zapošljavanje
empty, prazan
encourage, potaknuti
enemy, neprijatelj
engaged, zaručeni
engineering, inženjering
entertain, zabaviti
entertainment, Zabava
entrance, ulaz
entry, ulazak
environmental, okolišne
episode, epizoda
equal, jednak
equally, jednako
escape, pobjeći
essential, bitna
eventually, naposljetku
examine, ispitati
except, osim
exchange, razmjena
excitement, uzbuđenje
exhibition, izložba
expand, proširiti
expected, očekivano
expedition, ekspedicija
experience, iskustvo
experienced, iskusan
experiment, eksperiment
explode, eksplodirati
explore, istražiti
explosion, Eksplozija
export, izvoz
extra, ekstra
face, lice
fairly, pošteno
familiar, poznato
fancy, fensi
far, daleko
fascinating, fascinantan
fashionable, moderan
fasten, pričvrstiti
favour, milost
fear, strah
feature, značajka
fence, ograda
fighting, boreći se
file, datoteka
financial, financijski
fire, vatra
fitness, fitness
fixed, fiksno
flag, zastava
flood, poplava
flour, brašno
flow, teći
fold, preklopiti
folk, narodne
following, slijedeći
force, sila
forever, zauvijek
frame, okvir
freeze, zamrznuti
frequently, često
friendship, prijateljstvo
frighten, uplašiti
frightened, uplašen
frightening, zastrašujuć
frozen, smrznuti
fry, pržiti
fuel, gorivo
function, funkcija
fur, krzno
further, unaprijediti
garage, garaža
gather, skupiti
generally, općenito
generation, generacija
generous, velikodušan
gentle, nježan
gentleman, gospodin
ghost, duh
giant, divovski
glad, radostan
global, globalno
glove, rukavica
go, ići
goods, roba
grade, razred
graduate, diplomirati
grain, žitarica
grateful, zahvalan
growth, rast
guard, straža
guilty, kriv
hand, ruka
hang, objesiti
happiness, sreća
hardly, jedva
hate, mrziti
head, glava
headline, naslov
heating, grijanje
heavily, jako
helicopter, helikopter
highlight, istaknuti
highly, visoko
hire, najam
historic, povijesni
historical, povijesni
honest, pošten
horrible, užasno
horror, užas
host, domaćin
hunt, lov
hurricane, uragan
hurry, požuri se
identity, identitet
ignore, zanemariti
illegal, protuzakonito
imaginary, imaginarni
immediate, neposredan
immigrant, imigrant
impact, udarac
import, uvoz
importance, važnost
impression, dojam
impressive, impresivan
improvement, poboljšanje
incredibly, nevjerojatno
indeed, doista
indicate, naznačiti
indirect, neizravno
indoor, zatvoreni
indoors, u zatvorenom prostoru
influence, utjecaj
ingredient, sastojak
injure, ozlijediti
injured, ozlijeđen
innocent, nedužan
intelligence, inteligencija
intend, namjeravaju
intention, namjera
invest, ulagati
investigate, istraga
involved, uključeni
iron, željezo
issue, problem
IT, TO
journal, časopis
judge, suditi
keen, zagrijan
key, ključ
keyboard, tipkovnica
kick, udarac nogom
killing, ubijanje
kind, ljubazan
kiss, poljubac
knock, kucanje
label, označiti
laboratory, laboratorija
lack, nedostatak
latest, najnoviji
lay, položiti
layer, sloj
leadleading, vodećileading
leaf, list
leather, koža
legal, pravnim
leisure, slobodno vrijeme
length, duljina
level, razini
lielike, lažljiva
limit, ograničiti
lip, usne
liquid, tekućina
literature, književnost
liveliving, živući
local, lokalni
locate, pronaći
located, nalazi
location, mjesto
lonely, usamljena
loss, gubitak
luxury, luksuzno
mad, lud
magic, magija
mainly, uglavnom
mall, trgovački centar
management, upravljanje
market, tržište
marketing, Marketing
marriage, brak
meanwhile, u međuvremenu
measure, mjera
medium, srednji
mental, mentalno
mention, spomenuti
mess, nered
mild, blagim
mine, rudnik
mix, miješati
mixture, smjesa
mood, raspoloženje
move, potez
mud, blato
murder, ubiti
muscle, mišića
musical, glazbeni
mystery, misterija
nail, čavao
narrative, pripovijest
nation, narod
native, zavičajni
naturally, prirodno
necessarily, nužno
need, potreba
needle, igla
neighbourhood, susjedstvo
neither, ni
net, neto
next, Sljedeći
nor, ni
normal, normalan
northern, sjeverne
note, Bilješka
now, sada
nuclear, nuklearna
obvious, očito
obviously, očito
occasion, prigodom
occur, pojaviti
odd, neparan
official, službeno
old-fashioned, starinski
once, jednom
operation, operacija
organized, organizirano
organizer, organizator
original, izvornik
originally, izvorno
ought, trebao bi
ours, naše
outdoor, vanjski
outdoors, na otvorenom
pack, paket
package, paket
painful, bolno
pale, blijed
pan, tavi
participate, sudjelovati
particularly, osobito
pass, proći
passion, strast
path, staza
payment, plaćanje
peaceful, mirno
percentage, postotak
perfectly, savršeno
performance, izvođenje
personally, osobno
persuade, uvjeriti
photographer, fotograf
photography, fotografija
pin, pin
pipe, cijev
place, mjesto
planning, planiranje
pleasant, ugodan
pleasure, zadovoljstvo
plenty, dosta
plot, zemljište
plus, plus
poem, pjesma
poet, pjesnik
poetry, poezija
point, točka
poison, Otrov
poisonous, otrovan
policy, politika
political, političkim
politician, političar
politics, politika
port, luka
portrait, portret
possibly, možda
pot, lonac
pour, uliti
poverty, siromaštvo
powder, puder
powerful, snažan
practical, praktičan
pray, moliti
prayer, molitva
prediction, predviđanje
prepared, pripremljeno
presentation, prezentacija
press, pritisnite
pressure, pritisak
pretend, pretvarati se
previous, prethodni
previously, prethodno
priest, svećenik
primary, primarni
prince, princ
princess, princeza
printing, tiskanje
prisoner, zatvorenik
private, privatni
producer, proizvođač
production, proizvodnja
profession, profesija
profit, dobit
program, program
promote, promovirati
proper, ispravan
properly, ispravno
property, imovine
protest, protestirati
proud, ponos
prove, dokazati
pull, Vuci
punish, kazniti
punishment, kazna
push, gurnuti
qualification, kvalifikacija
qualified, kvalificirani
qualify, kvalificirati
queue, red
quit, prestati
quotation, citat
quote, citat
race, utrke
racing, utrke
range, rasponu
rare, rijetki
rarely, rijetko
reaction, reakcija
reality, stvarnost
receipt, priznanica
recommendation, preporuka
reference, referenca
reflect, odraziti
regularly, redovito
reject, odbiti
relate, odnositi se
related, povezane
relation, odnos
relative, srodnika
relaxed, opušten
relaxing, opuštajući
release, oslobađanje
reliable, pouzdan
religion, religija
religious, vjerski
remain, ostati
remind, podsjetiti
remote, daljinski
rent, najam
repair, popravak
repeat, ponoviti
repeated, ponavljano
represent, predstavljati
request, zahtjev
require, zahtijevati
reservation, rezervacija
resource, resurs
respect, poštovanje
responsibility, odgovornost
responsible, odgovoran
result, proizlaziti
retire, povući se
retired, umirovljen
revise, revidirati
ring2, prsten 2
rise, ustati
risk, rizik
robot, robot
roll, svitak
romantic, romantičan
rope, uže
rough, hrapav
row, red
royal, kraljevski
rugby, ragbi
rule, Pravilo
safety, sigurnost
sail, ploviti
sailor, mornar
sample, uzorak
sand, pijesak
scan, skenirati
scientific, znanstvenim
script, skripta
sculpture, skulptura
secondary, sekundarni
security, sigurnost
seed, sjeme
sensible, razumno
separate, odvojeno
seriously, ozbiljno
servant, sluga
set, skupa
setting, postavljanje
sex, seks
sexual, seksualni
shake, tresti
share, udio
sharp, oštar
shelf, polica
shell, ljuska
shift, pomak
shine, sjaj
shiny, sjajan
shoot, pucati
shy, stidljiv
sight, vid
signal, signal
silent, šutljiv
silly, budalica
similarity, sličnost
similarly, slično
simply, jednostavno
since, od
sink, umivaonik
slice, kriška
slightly, malo
slow, usporiti
smart, pametan
smooth, glatko
software, softver
soil, tlo
solid, čvrsta
sort, vrsta
southern, južnjački
specifically, posebno
spending, trošenje
spicy, začinjeno
spirit, duh
spoken, govorni
spot, mjesto
spread, širenje
spring, Proljeće
stadium, stadion
staff, osoblje
standard, standard
state, država
statistic, statistički
statue, kip
stick, štap
still, još
store, pohraniti
stranger, stranac
strength, snagu
string, niz
strongly, snažno
studio, studio
stuff, stvari
substance, tvar
successfully, uspješno
sudden, iznenadan
suffer, patiti
suit, odijelo
suitable, prikladan
summarize, rezimirati
summary, Sažetak
supply, Opskrba
supporter, pristaša
surely, sigurno
surface, površinski
survive, preživjeti
swim, plivati
switch, sklopka
symptom, simptom
tail, rep
talent, talenat
talented, talentirani
tape, traka
tax, porez
technical, tehnički
technique, tehnika
tend, skloniti
tent, šator
that, da
theirs, njihova
theme, tema
theory, teorija
therefore, stoga
this, ovaj
though, iako
throat, grlo
throughout, širom
tight, tijesno
till, do
tin, kositar
tiny, sićušan
tip, Savjet
toe, nožni prst
tongue, jezik
total, ukupno
totally, potpuno
touch, dodir
tour, obilazak
trade, trgovina
translate, Prevedi
translation, prijevod
transport, prijevoz
treat, liječiti
treatment, liječenje
trend, trend
trick, trik
truth, istina
tube, cijev
type, tip
typically, tipično
tyre, guma
ugly, ružan
unable, nesposoban
uncomfortable, neugodno
underwear, donje rublje
unemployed, nezaposleni
unemployment, nezaposlenost
unfair, nepravedno
union, unija
unless, osim ako
unlike, za razliku od
unlikely, malo vjerojatno
unnecessary, nepotrebno
unpleasant, neugodan
update, ažuriranje
upon, na
upset, uzrujan
usedusedvaluable, korišteniusedvrijedan
value, vrijednost
various, razne
version, verzija
victim, žrtva
view, pogled
viewer, gledatelja
violent, nasilan
volunteer, dobrovoljac
vote, glasanje
warm, toplo
warn, upozoriti
warning, upozorenje
waste, gubljenje
water, voda
wave, val
weapon, oružje
weigh, vagati
western, zapadni
whatever, što god
whenever, kad god
whether, da li
while, dok
whole, cijeli
will, htjeti
win, pobijediti
wing, krilo
within, unutar
